Ch#,Book,Divine Name,Book Name,Book Theme,Chapter Title,Geometry Icon,Stone,Element,Temple Space,Story Stage,Dimension,Fractal Gate,Spiritual Frequency,Book Color,Tribe,Prophet (PRF),Prophet (PRF),Apostle,Directional Mapping
1,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",Leadership Begins at the Altar,Square,Sardius,Fire,Altar,Exposition,1 Glory,Revelation,Deep Stillness,Red,Reuben,Hosea,,,
2,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory","The Tripartite Leader: Spirit, Soul, and Body",Equilateral Triangle,Topaz,Fire,Altar,Rising Action,6 Image,Internalization,Triune Tone,Red,Simeon,Joel,,,
3,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",Why We Had to Leave Eden,2D Spiral,Emerald,Fire,Altar,Climax,2 Presence,Embodiment,Exilic Echo,Red,Levi,Amos,,,
4,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",Formation in Exile: The Purpose of the Fall,Isometric Cube,Carbuncle,Fire,Altar,Falling Action,4 Word,Integration,Structure Hum,Red,Judah,Obadiah,,,
5,Book 1,Yod,Becoming Rooted,"Identity, Calling, and the Formation of Glory",The Seed Hidden in the Dust,Monad Unity Point,Onyx,Fire,Altar,Resolution,7 Name,Hidden (North),Subterranean Hum,Red,Dan,Jonah,,,North
6,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,"Jesus as the Tree of Life, the Flaming Sword, and the Cosmic Unifier",Tetrahedron + Rays,Sapphire,Air,Holy Place,Exposition,6 Image,Revelation,Tree Flame Pulse,Blue,Naphtali,Micah,,,
7,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Divine Pattern: YHWH‚ Structure and the Wings of Wisdom,Hexagonal Mandala,Diamond,Air,Holy Place,Rising Action,4 Word,Internalization,Wings of Wisdom Vibration,Blue,Gad,Nahum,,,
8,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Pattern Keeper: Heaven‚ Interface and Leadership Design,Octahedron,Ligure,Air,Holy Place,Climax,2 Presence,Embodiment,Guardian Harmonic,Blue,Asher,Habakkuk,,,
9,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Fractal Pattern of Leadership,Fibonacci Spiral,Agate,Air,Holy Place,Falling Action,5 Spirit,Integration,Recursive Tone,Blue,Issachar,Zephaniah,,,
10,Book 2,Heh,Becoming Aligned,Patterns and the Spiritual Core of Leadership,The Invisible Root System of Authority,Fractal Tree,Amethyst,Air,Holy Place,Resolution,7 Name,Hidden (South),Root Resonance,Blue,Zebulun,Haggai,,,South
11,Book 3,Vav,Becoming Clear,"Vision, Emotional Intelligence, and the Inner Compass",Vision of God: The First Call of Every Leader,Icosahedron,Beryl,Water,Inner Light,Exposition,1 Glory,Revelation,Visionary Call,Teal,Joseph (Ephraim),Zechariah,,,
12,Book 3,Vav,Becoming Clear,"Vision, Emotional Intelligence, and the Inner Compass",Vision of Self: Emotional Tools and Soul Awareness,Hexagonal Prism,Onyx (2),Water,Inner Light,Rising Action,3 Voice,Internalization,Soul Frequency,Teal,Benjamin,Malachi,,,
13,Book 3,Vav,Becoming Clear,"Vision, Emotional Intelligence, and the Inner Compass",Vision of Mission: Discovering Your Divine Measure,Golden Ratio Spiral,Jasper,Water,Inner Light,Climax,4 Word,Embodiment,Mission Tuning,Teal,,,John the Baptist,Peter,
14,Book 3,Vav,Becoming Clear,"Vision, Emotional Intelligence, and the Inner Compass",The Wounded Visionary: Leading Through Inner Conflict,Mobius Strip,Sapphire,Water,Inner Light,Falling Action,6 Image,Integration,Wounded Harmony,Teal,,,Elijah,James (Zebedee),
15,Book 3,Vav,Becoming Clear,"Vision, Emotional Intelligence, and the Inner Compass",Sacred Sight: From Revelation to Discernment,Metatron Cube,Chalcedony,Water,Inner Light,Resolution,7 Name,Hidden (East),Sight Pulse,Teal,,,John the Revelator,John,East
16,Book 4,Final Heh,Becoming  Embodied,"Walking in Wisdom, Spirit, and Glory",Emotional Intelligence and Passion,3D Pentagon,Emerald (2),Earth,Holy of Holies,Exposition,5 Spirit,Revelation,Passion Current,Green,,,Samuel,Andrew,
17,Book 4,Final Heh,Becoming  Embodied,"Walking in Wisdom, Spirit, and Glory",Intelligent Action: Decision-Making in Alignment with the Spirit,Tetrahedron,Sardonyx,Earth,Holy of Holies,Rising Action,4 Word,Internalization,Aligned Decision Pulse,Green,,,Nathan,Philip,
18,Book 4,Final Heh,Becoming  Embodied,"Walking in Wisdom, Spirit, and Glory",Embodied Leadership: Why Your Body Matters,Isometric Grid,Carnelian,Earth,Holy of Holies,Climax,6 Image,Embodiment,Embodied Presence,Green,,,Gad,Bartholomew,
19,Book 4,Final Heh,Becoming  Embodied,"Walking in Wisdom, Spirit, and Glory",Mentors and Mirrors: Leading Like Jesus in a Fractured World,Reflection Diagram,Chrysolite,Earth,Holy of Holies,Falling Action,2 Presence,Integration,Mirror Tone,Green,,,David,Matthew,
20,Book 4,Final Heh,Becoming  Embodied,"Walking in Wisdom, Spirit, and Glory",The Body of Christ: Flesh Made Flame,Flower of Life,Beryl (2),Earth,Holy of Holies,Resolution,7 Name,Hidden (West),Radiant Bloom,Green,,,Isaiah,Thomas,West
21,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame",Yeshua: The Embodiment of YHWH,Star of David,Topaz (2),Plasma,Ark,Exposition,7 Name,Revelation,Incarnational Wave,Gold/White,,,Jeremiah,James (Alphaeus),
22,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame",The Spiral and the Sword: Jesus as Pattern and Portal,Fibonacci Circle,Chrysoprase,Plasma,Ark,Rising Action,6 Image,Internalization,Sword Spiral Resonance,Gold/White,,,Ezekiel,Thaddeus,
23,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame",The Name and the Nations: Fractal Mission in the Latter Days,Torus (3D),Jacinth,Plasma,Ark,Climax,4 Word,Embodiment,Global Pulse,Gold/White,,,Daniel,Simon the Zealot,
24,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame","Pentecost, Fire, and the Echo of Eden",64 Star Tetrahedron,Amethyst (2),Plasma,Ark,Falling Action,7 Name,Integration,Covenant Flame Ring,Gold/White,,,Moses,Matthias,
25,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame",The Commissioning Pattern: Jesus and the Sending of the Flame,Nested Fib Circles,White Sapphire,Plasma,Ark,Resolution,7 Name,Hidden (Center) ,Shofar commission Resonance,Gold/White,,,Jesus Christ,Jesus Christ,Center
26,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame",The Apostolic Flame: Paul and the Global Replication Pattern,Fractal Network,Amethyst (3),Plasma,Ark,Rising Action,7 Name,Revelation,Global Pulse,Gold/White,,,Paul,Paul,Global
27,Book 5,YESHUA,The Pattern Manafesto,"Jesus, the Fractal Fulfillment, and the Apostolic Flame",,,,,,,,,,,,,,,